,Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G-TP,TP,TPint,TA,TR,Gls./90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Partidos,Temporada,Equipo
0,Jan Oblak,si SVN,PO,24,37,37,"3,330",37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Atlético Madrid
1,Saúl Ñíguez,es ESP,CC,22,36,35,"3,155",35.1,2,4,2,0,0,9,0,0.06,0.11,0.17,0.06,0.17,3.2,3.2,2.9,6.1,0.09,0.08,0.18,0.09,0.18,Partidos,2017-2018,Atlético Madrid
2,Koke,es ESP,"CC,DL",25,35,33,"2,753",30.6,4,3,4,0,0,3,0,0.13,0.10,0.23,0.13,0.23,2.9,2.9,7.3,10.2,0.10,0.24,0.33,0.10,0.33,Partidos,2017-2018,Atlético Madrid
3,Antoine Griezmann,fr FRA,DL,26,32,30,"2,509",27.9,19,9,17,2,2,7,1,0.68,0.32,1.00,0.61,0.93,12.6,11.1,5.3,16.4,0.45,0.19,0.64,0.40,0.59,Partidos,2017-2018,Atlético Madrid
4,Diego Godín,uy URU,DF,31,30,28,"2,554",28.4,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.1,1.6,0.05,0.00,0.06,0.05,0.06,Partidos,2017-2018,Atlético Madrid
5,Thomas Partey,gh GHA,"CC,DF",24,33,28,"2,373",26.4,3,0,3,0,0,6,0,0.11,0.00,0.11,0.11,0.11,1.5,1.5,0.5,2.1,0.06,0.02,0.08,0.06,0.08,Partidos,2017-2018,Atlético Madrid
6,Ángel Correa,ar ARG,"DL,CC",22,37,27,"2,240",24.9,8,5,8,0,0,4,2,0.32,0.20,0.52,0.32,0.52,6.0,6.0,2.2,8.2,0.24,0.09,0.33,0.24,0.33,Partidos,2017-2018,Atlético Madrid
7,Stefan Savić,me MNE,DF,26,27,26,"2,299",25.5,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.01,0.01,0.01,0.01,0.01,Partidos,2017-2018,Atlético Madrid
8,Gabi,es ESP,CC,34,34,25,"2,354",26.2,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,2.1,2.5,0.02,0.08,0.10,0.02,0.10,Partidos,2017-2018,Atlético Madrid
9,Lucas Hernández,fr FRA,DF,21,27,24,"2,122",23.6,0,1,0,0,0,7,2,0.00,0.04,0.04,0.00,0.04,0.8,0.8,0.5,1.3,0.03,0.02,0.05,0.03,0.05,Partidos,2017-2018,Atlético Madrid
10,Šime Vrsaljko,hr CRO,"DF,CC",25,21,19,"1,697",18.9,0,4,0,0,0,7,0,0.00,0.21,0.21,0.00,0.21,0.2,0.2,1.7,1.9,0.01,0.09,0.10,0.01,0.10,Partidos,2017-2018,Atlético Madrid
11,Filipe Luís,br BRA,DF,31,20,19,"1,656",18.4,1,2,1,0,0,4,0,0.05,0.11,0.16,0.05,0.16,0.2,0.2,1.5,1.8,0.01,0.08,0.10,0.01,0.10,Partidos,2017-2018,Atlético Madrid
12,José María Giménez,uy URU,DF,22,23,17,"1,696",18.8,1,1,1,0,0,6,0,0.05,0.05,0.11,0.05,0.11,1.5,1.5,0.1,1.6,0.08,0.01,0.09,0.08,0.09,Partidos,2017-2018,Atlético Madrid
13,Juanfran,es ESP,DF,32,17,15,"1,306",14.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.8,0.00,0.05,0.06,0.00,0.06,Partidos,2017-2018,Atlético Madrid
14,Diego Costa,es ESP,DL,28,15,13,"1,034",11.5,3,3,3,0,0,7,2,0.26,0.26,0.52,0.26,0.52,2.9,2.9,2.3,5.2,0.25,0.20,0.45,0.25,0.45,Partidos,2017-2018,Atlético Madrid
15,Kévin Gameiro,fr FRA,DL,30,25,11,"1,133",12.6,7,2,5,2,2,0,0,0.56,0.16,0.71,0.40,0.56,5.6,4.0,1.2,5.2,0.45,0.10,0.54,0.32,0.42,Partidos,2017-2018,Atlético Madrid
16,Yannick Carrasco,be BEL,"CC,DL",23,17,8,901,10.0,3,4,3,0,0,3,0,0.30,0.40,0.70,0.30,0.70,2.0,2.0,2.4,4.4,0.20,0.24,0.44,0.20,0.44,Partidos,2017-2018,Atlético Madrid
17,Vitolo,es ESP,"CC,DL",27,14,8,616,6.8,1,1,1,0,0,1,1,0.15,0.15,0.29,0.15,0.29,0.8,0.8,0.7,1.5,0.12,0.09,0.22,0.12,0.22,Partidos,2017-2018,Atlético Madrid
18,Fernando Torres,es ESP,DL,33,27,7,996,11.1,5,1,5,0,1,2,0,0.45,0.09,0.54,0.45,0.54,4.9,4.1,0.3,4.4,0.45,0.03,0.48,0.38,0.41,Partidos,2017-2018,Atlético Madrid
19,Luciano Vietto,ar ARG,DL,23,6,4,264,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.0,0.9,0.30,0.00,0.30,0.30,0.30,Partidos,2017-2018,Atlético Madrid
20,Nicolás Gaitán,ar ARG,"CC,DL",29,6,1,224,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.12,0.17,0.29,0.12,0.29,Partidos,2017-2018,Atlético Madrid
21,Augusto Fernández,ar ARG,"CC,DL",31,5,1,110,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.03,0.05,0.02,0.05,Partidos,2017-2018,Atlético Madrid
22,Axel Werner,ar ARG,PO,21,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Atlético Madrid
23,Carlos Isaac,es ESP,DF,19,1,1,62,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Partidos,2017-2018,Atlético Madrid
24,Arona Sané,sn SEN,CC,22,1,0,66,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Partidos,2017-2018,Atlético Madrid
25,Toni Moya,es ESP,DF,19,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Atlético Madrid
26,Juan Agüero,es ESP,CC,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Atlético Madrid
27,Alex,es ESP,PO,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Atlético Madrid
28,Miguel Ángel Moyá,es ESP,PO,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Atlético Madrid
29,Roberto Olabe del Arco,es ESP,CC,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Atlético Madrid
30,Keidi Bare,al ALB,CC,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Atlético Madrid
31,Giovanni,es ESP,DL,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Atlético Madrid
32,Sergi González,es ESP,DF,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Atlético Madrid
33,Antonio Montoro,es ESP,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Atlético Madrid
34,Casemiro,br BRA,CC,25,30,30,"2,589",28.8,5,3,5,0,0,8,0,0.17,0.10,0.28,0.17,0.28,2.9,2.9,2.0,4.9,0.10,0.07,0.17,0.10,0.17,Partidos,2017-2018,Real Madrid
35,Keylor Navas,cr CRC,PO,30,27,27,"2,430",27.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Real Madrid
36,Raphaël Varane,fr FRA,DF,24,27,27,"2,320",25.8,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,0.9,0.9,0.9,1.9,0.04,0.04,0.07,0.04,0.07,Partidos,2017-2018,Real Madrid
37,Cristiano Ronaldo,pt POR,DL,32,27,27,"2,288",25.4,26,5,23,3,4,1,0,1.02,0.20,1.22,0.90,1.10,24.2,21.0,4.3,25.3,0.95,0.17,1.12,0.83,0.99,Partidos,2017-2018,Real Madrid
38,Sergio Ramos,es ESP,DF,31,26,26,"2,290",25.4,4,1,2,2,3,9,4,0.16,0.04,0.20,0.08,0.12,6.0,3.7,1.0,4.8,0.24,0.04,0.28,0.15,0.19,Partidos,2017-2018,Real Madrid
39,Marcelo,br BRA,DF,29,28,26,"2,262",25.1,2,6,2,0,0,3,1,0.08,0.24,0.32,0.08,0.32,1.6,1.6,7.2,8.7,0.06,0.28,0.35,0.06,0.35,Partidos,2017-2018,Real Madrid
40,Toni Kroos,de GER,CC,27,27,26,"2,261",25.1,5,5,5,0,0,4,0,0.20,0.20,0.40,0.20,0.40,2.5,2.5,5.6,8.2,0.10,0.22,0.32,0.10,0.32,Partidos,2017-2018,Real Madrid
41,Dani Carvajal,es ESP,DF,25,25,25,"2,223",24.7,0,4,0,0,0,11,1,0.00,0.16,0.16,0.00,0.16,0.7,0.7,3.0,3.7,0.03,0.12,0.15,0.03,0.15,Partidos,2017-2018,Real Madrid
42,Karim Benzema,fr FRA,DL,29,32,25,"2,149",23.9,5,9,3,2,2,0,0,0.21,0.38,0.59,0.13,0.50,10.5,9.0,5.7,14.7,0.44,0.24,0.68,0.38,0.61,Partidos,2017-2018,Real Madrid
43,Luka Modrić,hr CRO,CC,31,26,23,"1,966",21.8,1,5,1,0,0,3,0,0.05,0.23,0.27,0.05,0.27,2.2,2.2,4.6,6.8,0.10,0.21,0.31,0.10,0.31,Partidos,2017-2018,Real Madrid
44,Nacho,es ESP,DF,27,27,22,"2,075",23.1,3,0,3,0,0,7,0,0.13,0.00,0.13,0.13,0.13,1.7,1.7,0.3,2.0,0.07,0.01,0.09,0.07,0.09,Partidos,2017-2018,Real Madrid
45,Isco,es ESP,"CC,DL",25,30,21,"1,766",19.6,7,5,7,0,0,1,0,0.36,0.25,0.61,0.36,0.61,5.0,5.0,5.8,10.8,0.25,0.29,0.54,0.25,0.54,Partidos,2017-2018,Real Madrid
46,Gareth Bale,wal WAL,"DL,CC",28,26,20,"1,794",19.9,16,4,15,1,1,5,0,0.80,0.20,1.00,0.75,0.95,11.7,11.0,4.9,15.9,0.58,0.25,0.83,0.55,0.79,Partidos,2017-2018,Real Madrid
47,Marco Asensio,es ESP,"DL,CC",21,32,19,"1,845",20.5,6,4,6,0,0,2,0,0.29,0.20,0.49,0.29,0.49,4.8,4.8,5.6,10.4,0.24,0.27,0.51,0.24,0.51,Partidos,2017-2018,Real Madrid
48,Lucas Vázquez,es ESP,"CC,DL",26,33,16,"1,688",18.8,4,7,4,0,0,3,0,0.21,0.37,0.59,0.21,0.59,4.1,4.1,6.0,10.1,0.22,0.33,0.55,0.22,0.55,Partidos,2017-2018,Real Madrid
49,Mateo Kovačić,hr CRO,CC,23,21,10,994,11.0,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.3,0.3,1.0,1.3,0.03,0.09,0.12,0.03,0.12,Partidos,2017-2018,Real Madrid
50,Theo Hernández,fr FRA,DF,19,13,10,962,10.7,0,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,0.6,1.0,0.04,0.06,0.10,0.04,0.10,Partidos,2017-2018,Real Madrid
51,Kiko Casilla,es ESP,PO,30,10,10,900,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Real Madrid
52,Achraf Hakimi,ma MAR,DF,18,9,8,758,8.4,2,1,2,0,0,0,0,0.24,0.12,0.36,0.24,0.36,0.5,0.5,0.4,0.9,0.06,0.04,0.10,0.06,0.10,Partidos,2017-2018,Real Madrid
53,Jesús Vallejo,es ESP,DF,20,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Real Madrid
54,Marcos Llorente,es ESP,CC,22,13,5,554,6.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.04,0.03,0.07,0.04,0.07,Partidos,2017-2018,Real Madrid
55,Dani Ceballos,es ESP,"CC,DL",20,12,4,404,4.5,2,0,2,0,0,0,0,0.45,0.00,0.45,0.45,0.45,0.5,0.5,0.4,0.9,0.11,0.08,0.19,0.11,0.19,Partidos,2017-2018,Real Madrid
56,Borja Mayoral,es ESP,DL,20,14,3,349,3.9,3,1,3,0,0,0,0,0.77,0.26,1.03,0.77,1.03,3.4,3.4,0.2,3.6,0.92,0.05,0.97,0.92,0.97,Partidos,2017-2018,Real Madrid
57,Luca Zidane,fr FRA,PO,19,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Real Madrid
58,Franchu Feuillassier,ar ARG,DL,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Real Madrid
59,Moha,es ESP,PO,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Real Madrid
60,Luismi Quezada,do DOM,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Real Madrid
61,Óscar Rodríguez Arnaiz,es ESP,CC,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Real Madrid
62,Álvaro Tejero,es ESP,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Real Madrid
63,Marc-André ter Stegen,de GER,PO,25,37,37,"3,330",37.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Barcelona
64,Lionel Messi,ar ARG,"DL,CC",30,36,32,"3,002",33.4,34,12,32,2,4,3,0,1.02,0.36,1.38,0.96,1.32,25.3,22.3,13.6,35.9,0.76,0.41,1.17,0.67,1.08,Partidos,2017-2018,Barcelona
65,Luis Suárez,uy URU,DL,30,33,32,"2,897",32.2,25,7,24,1,1,9,0,0.78,0.22,0.99,0.75,0.96,21.7,21.0,9.7,30.7,0.67,0.30,0.98,0.65,0.95,Partidos,2017-2018,Barcelona
66,Ivan Rakitić,hr CRO,CC,29,35,31,"2,831",31.5,1,3,1,0,0,4,0,0.03,0.10,0.13,0.03,0.13,1.9,1.9,4.0,5.9,0.06,0.13,0.19,0.06,0.19,Partidos,2017-2018,Barcelona
67,Jordi Alba,es ESP,DF,28,33,30,"2,741",30.5,2,6,2,0,0,7,0,0.07,0.20,0.26,0.07,0.26,1.9,1.9,4.1,6.0,0.06,0.13,0.20,0.06,0.20,Partidos,2017-2018,Barcelona
68,Sergio Busquets,es ESP,CC,29,31,30,"2,588",28.8,1,2,1,0,0,8,0,0.03,0.07,0.10,0.03,0.10,0.6,0.6,1.6,2.2,0.02,0.05,0.08,0.02,0.08,Partidos,2017-2018,Barcelona
69,Gerard Piqué,es ESP,DF,30,30,29,"2,631",29.2,2,0,2,0,0,8,0,0.07,0.00,0.07,0.07,0.07,3.0,3.0,0.9,3.8,0.10,0.03,0.13,0.10,0.13,Partidos,2017-2018,Barcelona
70,Andrés Iniesta,es ESP,"CC,DL",33,30,25,"1,862",20.7,1,2,1,0,0,1,0,0.05,0.10,0.15,0.05,0.15,0.9,0.9,1.6,2.5,0.04,0.08,0.12,0.04,0.12,Partidos,2017-2018,Barcelona
71,Sergi Roberto,es ESP,DF,25,30,24,"2,221",24.7,1,7,1,0,0,3,2,0.04,0.28,0.32,0.04,0.32,0.9,0.9,3.0,4.0,0.04,0.12,0.16,0.04,0.16,Partidos,2017-2018,Barcelona
72,Samuel Umtiti,fr FRA,DF,23,25,24,"2,189",24.3,1,0,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,1.1,1.1,0.0,1.1,0.05,0.00,0.05,0.05,0.05,Partidos,2017-2018,Barcelona
73,Paulinho,br BRA,CC,29,34,21,"1,948",21.6,9,2,9,0,0,2,0,0.42,0.09,0.51,0.42,0.51,8.9,8.9,2.0,11.0,0.42,0.09,0.51,0.42,0.51,Partidos,2017-2018,Barcelona
74,Nélson Semedo,pt POR,DF,23,24,17,"1,500",16.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.2,1.4,0.01,0.07,0.09,0.01,0.09,Partidos,2017-2018,Barcelona
75,Philippe Coutinho,br BRA,"DL,CC",25,18,16,"1,293",14.4,8,5,8,0,0,1,0,0.56,0.35,0.90,0.56,0.90,3.2,3.2,3.7,6.9,0.22,0.26,0.48,0.22,0.48,Partidos,2017-2018,Barcelona
76,Thomas Vermaelen,be BEL,DF,31,14,12,"1,018",11.3,0,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.3,0.3,0.4,0.7,0.03,0.03,0.06,0.03,0.06,Partidos,2017-2018,Barcelona
77,Ousmane Dembélé,fr FRA,"DL,CC",20,17,12,918,10.2,3,6,3,0,0,2,0,0.29,0.59,0.88,0.29,0.88,2.4,2.4,3.8,6.2,0.23,0.37,0.60,0.23,0.60,Partidos,2017-2018,Barcelona
78,Lucas Digne,fr FRA,DF,24,12,8,709,7.9,0,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,0.3,0.3,1.7,2.0,0.04,0.22,0.26,0.04,0.26,Partidos,2017-2018,Barcelona
79,Paco Alcácer,es ESP,"DL,CC",23,17,8,698,7.8,4,2,4,0,0,0,0,0.52,0.26,0.77,0.52,0.77,3.0,3.0,2.3,5.3,0.39,0.30,0.69,0.39,0.69,Partidos,2017-2018,Barcelona
80,André Gomes,pt POR,"CC,DL",24,16,6,640,7.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.8,0.09,0.02,0.12,0.09,0.12,Partidos,2017-2018,Barcelona
81,Javier Mascherano,ar ARG,DF,33,7,6,542,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.6,0.00,0.10,0.10,0.00,0.10,Partidos,2017-2018,Barcelona
82,Gerard Deulofeu,es ESP,"CC,DL",23,10,5,502,5.6,1,1,1,0,0,1,0,0.18,0.18,0.36,0.18,0.36,1.3,1.3,1.1,2.4,0.23,0.19,0.43,0.23,0.43,Partidos,2017-2018,Barcelona
83,Denis Suárez,es ESP,"CC,DL",23,18,4,602,6.7,2,2,2,0,0,1,0,0.30,0.30,0.60,0.30,0.60,1.8,1.8,2.2,4.0,0.27,0.34,0.61,0.27,0.61,Partidos,2017-2018,Barcelona
84,Aleix Vidal,es ESP,"CC,DL",27,15,4,468,5.2,1,1,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,1.2,1.2,1.0,2.2,0.24,0.20,0.45,0.24,0.45,Partidos,2017-2018,Barcelona
85,Yerry Mina,co COL,DF,22,5,4,372,4.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.06,0.02,0.08,0.06,0.08,Partidos,2017-2018,Barcelona
86,Jasper Cillessen,nl NED,PO,28,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Barcelona
87,José Arnaiz,es ESP,CC,22,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Barcelona
88,Carles Aleñá,es ESP,CC,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Barcelona
89,Oriol Busquets,es ESP,CC,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Barcelona
90,David Costas,es ESP,DF,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Barcelona
91,Arda Turan,tr TUR,"DL,CC",30,0,0,,,,,,,,,,,,,,,,,,,,,,,,Partidos,2017-2018,Barcelona
92,Clément Lenglet,fr FRA,DF,22,35,33,"3,000",33.3,3,1,3,0,0,9,0,0.09,0.03,0.12,0.09,0.12,2.0,2.0,0.5,2.5,0.06,0.02,0.08,0.06,0.08,Partidos,2017-2018,Sevilla
93,Pablo Sarabia,es ESP,"DL,CC",25,34,27,"2,394",26.6,6,5,6,0,0,8,2,0.23,0.19,0.41,0.23,0.41,6.6,6.6,5.8,12.5,0.25,0.22,0.47,0.25,0.47,Partidos,2017-2018,Sevilla
94,Sergio Escudero,es ESP,DF,27,27,26,"2,333",25.9,0,2,0,0,0,10,0,0.00,0.08,0.08,0.00,0.08,1.3,1.3,1.1,2.4,0.05,0.04,0.09,0.05,0.09,Partidos,2017-2018,Sevilla
95,Steven Nzonzi,fr FRA,CC,28,27,26,"2,216",24.6,1,1,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,1.9,1.9,1.6,3.5,0.08,0.06,0.14,0.08,0.14,Partidos,2017-2018,Sevilla
96,Éver Banega,ar ARG,CC,29,31,25,"2,399",26.7,3,3,0,3,3,9,1,0.11,0.11,0.23,0.00,0.11,3.8,1.5,5.2,6.7,0.14,0.20,0.34,0.06,0.25,Partidos,2017-2018,Sevilla
97,Gabriel Mercado,ar ARG,DF,30,26,25,"2,116",23.5,0,1,0,0,0,9,0,0.00,0.04,0.04,0.00,0.04,1.5,1.5,0.8,2.3,0.07,0.03,0.10,0.07,0.10,Partidos,2017-2018,Sevilla
98,Sergio Rico,es ESP,PO,23,24,23,"2,157",24.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Sevilla
99,Franco Vázquez,ar ARG,CC,28,30,22,"1,831",20.3,4,4,4,0,0,5,0,0.20,0.20,0.39,0.20,0.39,6.1,6.1,4.9,10.9,0.30,0.24,0.53,0.30,0.53,Partidos,2017-2018,Sevilla
100,Jesús Navas,es ESP,"DL,DF",31,26,20,"1,765",19.6,1,1,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,1.4,1.4,3.5,4.8,0.07,0.18,0.25,0.07,0.25,Partidos,2017-2018,Sevilla
101,Guido Pizarro,ar ARG,CC,27,24,19,"1,755",19.5,1,0,1,0,0,9,0,0.05,0.00,0.05,0.05,0.05,0.6,0.6,0.8,1.3,0.03,0.04,0.07,0.03,0.07,Partidos,2017-2018,Sevilla
102,Wissam Ben Yedder,fr FRA,DL,26,25,18,"1,701",18.9,9,3,8,1,1,2,2,0.48,0.16,0.63,0.42,0.58,10.6,9.8,2.4,12.2,0.56,0.13,0.69,0.52,0.65,Partidos,2017-2018,Sevilla
103,Simon Kjær,dk DEN,DF,28,20,18,"1,571",17.5,2,1,2,0,0,3,0,0.11,0.06,0.17,0.11,0.17,1.3,1.3,0.0,1.3,0.08,0.00,0.08,0.08,0.08,Partidos,2017-2018,Sevilla
104,Luis Muriel,co COL,DL,26,29,17,"1,610",17.9,7,2,7,0,0,4,0,0.39,0.11,0.50,0.39,0.50,7.4,7.4,2.2,9.5,0.41,0.12,0.54,0.41,0.54,Partidos,2017-2018,Sevilla
105,Nolito,es ESP,"DL,CC",30,30,17,"1,599",17.8,4,5,4,0,1,4,0,0.23,0.28,0.51,0.23,0.51,4.6,3.9,3.9,7.9,0.26,0.22,0.48,0.22,0.44,Partidos,2017-2018,Sevilla
106,David Soria,es ESP,PO,24,15,15,"1,263",14.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Sevilla
107,Joaquín Correa,ar ARG,"DL,CC",22,21,15,"1,189",13.2,1,2,1,0,0,5,0,0.08,0.15,0.23,0.08,0.23,1.7,1.7,1.8,3.5,0.13,0.14,0.27,0.13,0.27,Partidos,2017-2018,Sevilla
108,Miguel Layún,mx MEX,DF,29,16,11,"1,187",13.2,2,0,2,0,0,4,0,0.15,0.00,0.15,0.15,0.15,1.3,1.3,1.8,3.1,0.10,0.13,0.23,0.10,0.23,Partidos,2017-2018,Sevilla
109,Sébastien Corchia,fr FRA,DF,26,12,9,820,9.1,0,1,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,0.5,0.5,0.5,1.0,0.05,0.06,0.11,0.05,0.11,Partidos,2017-2018,Sevilla
110,Sandro Ramírez,es ESP,"DL,CC",22,13,7,721,8.0,0,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,2.3,2.3,0.5,2.8,0.29,0.06,0.35,0.29,0.35,Partidos,2017-2018,Sevilla
111,Johannes Geis,de GER,"DF,CC",23,14,7,680,7.6,0,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,0.2,0.2,0.4,0.6,0.02,0.05,0.08,0.02,0.08,Partidos,2017-2018,Sevilla
112,Ganso,br BRA,CC,27,8,7,515,5.7,2,1,2,0,0,0,0,0.35,0.17,0.52,0.35,0.52,1.1,1.1,0.7,1.8,0.19,0.12,0.31,0.19,0.31,Partidos,2017-2018,Sevilla
113,Lionel Carole,fr FRA,DF,26,6,6,540,6.0,0,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,0.1,0.1,0.1,0.2,0.02,0.02,0.04,0.02,0.04,Partidos,2017-2018,Sevilla
114,Michael Krohn-Dehli,dk DEN,"CC,DL",34,13,5,540,6.0,1,0,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,0.2,0.2,1.0,1.2,0.03,0.17,0.20,0.03,0.20,Partidos,2017-2018,Sevilla
115,Daniel Carriço,pt POR,DF,28,6,5,461,5.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03,Partidos,2017-2018,Sevilla
116,Nicolás Pareja,ar ARG,DF,33,5,5,405,4.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.03,0.01,0.04,0.03,0.04,Partidos,2017-2018,Sevilla
117,Roque Mesa,es ESP,CC,28,7,4,344,3.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.01,0.08,0.10,0.01,0.10,Partidos,2017-2018,Sevilla
118,Guilherme Arana,br BRA,DF,20,3,2,193,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Partidos,2017-2018,Sevilla
119,Carlos Fernández,es ESP,DL,21,2,2,135,1.5,1,0,1,0,0,0,0,0.67,0.00,0.67,0.67,0.67,0.7,0.7,0.1,0.8,0.44,0.08,0.52,0.44,0.52,Partidos,2017-2018,Sevilla
120,Walter Montoya,ar ARG,DL,24,1,1,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Partidos,2017-2018,Sevilla
