,Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PaC,PaC%,PC,%PC,Temporada,Equipo,TL,TE,GCpropios,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,PInt.,% Cmp,Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90
10,Miguel Ángel Moyá,es ESP,PO,33,9,9,763,8.5,8,0.94,30,24,80.0,2,22.2,1,33.3,2017-2018,Real Sociedad,0,2,0,9.8,0.25,+1.8,+0.21,69,131,52.7,88,12,13.6,7,0.82
11,Toño Ramírez,es ESP,PO,30,4,3,316,3.5,6,1.71,11,5,45.5,1,33.3,0,,2017-2018,Real Sociedad,0,1,0,3.5,0.32,-2.5,-0.71,17,50,34.0,29,1,3.4,0,0.00
12,Antonio Adán,es ESP,PO,30,30,30,"2,700",30.0,53,1.77,128,82,60.9,9,30.0,1,25.0,2017-2018,Real Betis,0,6,4,38.5,0.28,-10.5,-0.35,177,459,38.6,289,30,10.4,18,0.60
13,Pedro López,es ESP,PO,22,5,4,412,4.6,8,1.75,18,10,55.6,0,0.0,0,,2017-2018,Real Betis,0,2,0,6.9,0.39,-1.1,-0.23,19,47,40.4,39,3,7.7,3,0.66
14,Dani Giménez,es ESP,PO,34,4,4,308,3.4,0,0.00,7,7,100.0,3,75.0,0,,2017-2018,Real Betis,0,0,0,2.2,0.31,+2.2,+0.64,10,38,26.3,39,1,2.6,0,0.00
15,Sergio Asenjo,es ESP,PO,28,23,23,"2,070",23.0,30,1.30,89,62,69.7,6,26.1,2,40.0,2017-2018,Villarreal,1,3,0,32.5,0.32,+2.5,+0.11,102,282,36.2,284,24,8.5,16,0.70
16,Mariano Barbosa,ar ARG,PO,33,13,12,"1,125",12.5,14,1.12,47,34,72.3,5,41.7,0,0.0,2017-2018,Villarreal,0,2,0,13.6,0.27,-0.4,-0.03,35,123,28.5,150,15,10.0,3,0.24
17,Andrés Fernández,es ESP,PO,30,3,3,225,2.5,6,2.40,15,10,66.7,0,0.0,0,0.0,2017-2018,Villarreal,0,1,0,5.3,0.33,-0.7,-0.28,9,26,34.6,25,3,12.0,1,0.40
18,Rubén Blanco,es ESP,PO,22,22,22,"1,941",21.6,31,1.44,90,62,68.9,4,18.2,0,0.0,2017-2018,Celta Vigo,0,4,0,25.5,0.26,-5.5,-0.26,112,357,31.4,231,28,12.1,7,0.32
19,Sergio Álvarez,es ESP,PO,30,17,16,"1,479",16.4,29,1.76,77,50,63.6,3,18.8,0,0.0,2017-2018,Celta Vigo,0,4,1,26.5,0.34,-1.5,-0.09,96,255,37.6,143,15,10.5,12,0.73
20,Kepa Arrizabalaga,es ESP,PO,22,30,30,"2,700",30.0,43,1.43,135,96,68.9,7,23.3,2,66.7,2017-2018,Athletic Club,3,5,3,42.9,0.30,+2.9,+0.10,280,587,47.7,271,24,8.9,14,0.47
21,Iago Herrerín,es ESP,PO,29,8,8,720,8.0,6,0.75,26,22,84.6,4,50.0,1,33.3,2017-2018,Athletic Club,0,0,0,8.2,0.22,+2.2,+0.28,82,173,47.4,86,6,7.0,5,0.63
22,Neto,br BRA,PO,28,33,33,"2,970",33.0,33,1.00,150,120,80.0,10,30.3,2,40.0,2017-2018,Valencia,1,5,0,44.2,0.27,+11.2,+0.34,143,383,37.3,353,27,7.6,6,0.18
23,Jaume Doménech,es ESP,PO,26,5,5,450,5.0,5,1.00,22,17,77.3,2,40.0,0,,2017-2018,Valencia,0,1,0,6.3,0.31,+1.3,+0.27,16,43,37.2,70,7,10.0,3,0.60
24,Oier Olazábal,es ESP,PO,27,26,26,"2,340",26.0,39,1.50,117,86,70.9,7,26.9,0,0.0,2017-2018,Levante,0,4,3,40.9,0.32,+4.9,+0.19,151,398,37.9,278,27,9.7,12,0.46
25,Raúl Fernández,es ESP,PO,29,11,11,990,11.0,15,1.36,53,38,71.7,3,27.3,0,,2017-2018,Levante,1,3,0,16.7,0.33,+1.7,+0.15,92,206,44.7,121,17,14.0,12,1.09
26,Koke Vegas,es ESP,PO,21,1,1,90,1.0,4,4.00,8,4,50.0,0,0.0,0,,2017-2018,Levante,0,1,0,3.6,0.45,-0.4,-0.41,5,17,29.4,13,0,0.0,1,1.00
27,Vicente Guaita,es ESP,PO,30,33,33,"2,970",33.0,26,0.79,108,83,76.9,12,36.4,1,50.0,2017-2018,Getafe,0,3,0,28.8,0.25,+2.8,+0.09,211,685,30.8,314,45,14.3,19,0.58
28,Emiliano Martínez,ar ARG,PO,24,5,5,450,5.0,7,1.40,19,13,68.4,2,40.0,0,0.0,2017-2018,Getafe,0,2,0,6.4,0.29,-0.6,-0.11,47,115,40.9,51,7,13.7,3,0.60
29,Fernando Pacheco,es ESP,PO,25,38,37,"3,360",37.3,50,1.34,175,134,75.4,12,32.4,3,30.0,2017-2018,Alavés,2,7,2,53.4,0.28,+5.4,+0.15,248,586,42.3,413,21,5.1,9,0.24
30,Antonio Sivera,es ESP,PO,20,1,1,60,0.7,1,1.50,2,2,50.0,0,0.0,0,,2017-2018,Alavés,0,0,0,0.3,0.17,+0.3,+0.47,5,10,50.0,5,1,20.0,0,0.00
31,Marko Dmitrović,rs SRB,PO,25,36,36,"3,240",36.0,49,1.36,121,80,62.8,10,27.8,0,0.0,2017-2018,Eibar,2,3,4,41.3,0.33,-3.7,-0.10,265,719,36.9,248,35,14.1,59,1.64
32,Asier Riesgo,es ESP,PO,33,1,1,90,1.0,1,1.00,4,3,75.0,0,0.0,0,,2017-2018,Eibar,0,1,0,1.6,0.40,+0.6,+0.62,10,28,35.7,16,3,18.8,0,0.00
33,Yoel,es ESP,PO,28,1,1,90,1.0,1,1.00,5,5,80.0,0,0.0,0,,2017-2018,Eibar,0,0,0,0.8,0.16,+0.8,+0.80,9,25,36.0,13,1,7.7,3,3.00
34,Iván Cuéllar,es ESP,PO,33,35,35,"3,150",35.0,43,1.23,143,105,73.4,14,40.0,1,16.7,2017-2018,Leganés,3,5,0,40.1,0.25,-2.9,-0.08,270,779,34.7,309,30,9.7,28,0.80
35,Nereo Champagne,ar ARG,PO,32,2,2,180,2.0,6,3.00,9,4,44.4,0,0.0,0,0.0,2017-2018,Leganés,1,0,0,4.1,0.36,-1.9,-0.97,19,43,44.2,15,0,0.0,1,0.50
36,Jon Ander Serantes,es ESP,PO,27,1,1,90,1.0,2,2.00,9,7,77.8,0,0.0,0,,2017-2018,Leganés,0,0,0,2.5,0.28,+0.5,+0.53,5,24,20.8,9,2,22.2,0,0.00
37,Pau López,es ESP,PO,22,28,27,"2,478",27.5,31,1.13,128,100,78.1,9,33.3,1,25.0,2017-2018,Espanyol,0,5,0,40.4,0.30,+9.4,+0.33,147,416,35.3,281,33,11.7,16,0.56
38,Diego López,es ESP,PO,35,11,11,942,10.5,11,1.05,38,30,73.7,3,27.3,1,50.0,2017-2018,Espanyol,0,0,2,10.3,0.24,+1.3,+0.14,47,132,35.6,92,7,7.6,2,0.21
39,Yassine Bounou,ma MAR,PO,26,30,30,"2,655",29.5,46,1.56,136,95,69.1,9,30.0,0,0.0,2017-2018,Girona,2,1,1,40.4,0.28,-4.6,-0.16,177,485,36.5,259,20,7.7,10,0.34
40,Gorka Iraizoz,es ESP,PO,36,9,8,765,8.5,13,1.53,37,26,64.9,2,25.0,0,,2017-2018,Girona,1,0,2,9.6,0.27,-1.4,-0.17,56,135,41.5,61,9,14.8,10,1.18
41,Rubén,es ESP,PO,33,28,27,"2,480",27.6,58,2.10,137,83,59.1,4,14.8,1,33.3,2017-2018,Deportivo La Coruña,3,9,2,49.0,0.34,-7.0,-0.26,112,323,34.7,308,30,9.7,8,0.29
42,Costel Pantilimon,ro ROU,PO,30,6,6,540,6.0,9,1.50,23,16,65.2,1,16.7,0,0.0,2017-2018,Deportivo La Coruña,0,0,1,7.1,0.28,-0.9,-0.16,37,85,43.5,48,2,4.2,2,0.33
43,Francis Uzoho,ng NGA,PO,18,2,2,180,2.0,2,1.00,9,8,88.9,1,50.0,0,0.0,2017-2018,Deportivo La Coruña,0,1,0,2.9,0.24,+0.9,+0.43,10,30,33.3,19,2,10.5,0,0.00
44,Maksym Koval,ua UKR,"PO,CC",24,2,2,121,1.3,3,2.23,5,2,40.0,0,0.0,0,,2017-2018,Deportivo La Coruña,0,0,0,1.5,0.29,-1.5,-1.14,6,17,35.3,16,1,6.3,3,2.23
45,Przemysław Tytoń,pl POL,PO,30,2,1,98,1.1,4,3.67,5,1,20.0,0,0.0,0,,2017-2018,Deportivo La Coruña,0,2,0,1.7,0.35,-2.3,-2.11,3,12,25.0,11,1,9.1,1,0.93
46,Leandro Chichizola,ar ARG,PO,27,27,27,"2,430",27.0,47,1.74,152,109,71.1,4,14.8,0,0.0,2017-2018,Las Palmas,1,5,1,46.2,0.29,+0.2,+0.01,154,416,37.0,225,31,13.8,35,1.30
47,Raúl Lizoain,es ESP,PO,26,11,11,990,11.0,27,2.45,61,36,59.0,1,9.1,0,0.0,2017-2018,Las Palmas,0,3,0,21.5,0.33,-5.5,-0.50,35,83,42.2,103,8,7.8,4,0.36
48,Roberto,es ESP,PO,31,34,34,"3,060",34.0,51,1.50,144,97,67.4,6,17.6,1,20.0,2017-2018,Málaga,1,3,0,49.0,0.32,-2.0,-0.06,238,604,39.4,344,37,10.8,15,0.44
49,Andrés Prieto,es ESP,PO,23,4,4,360,4.0,10,2.50,18,10,55.6,0,0.0,0,0.0,2017-2018,Málaga,0,0,0,9.2,0.43,-0.8,-0.21,24,65,36.9,32,4,12.5,0,0.00
50,Jan Oblak,si SVN,PO,25,37,37,"3,330",37.0,27,0.73,123,103,82.1,20,54.1,0,0.0,2018-2019,Atlético Madrid,0,3,2,36.1,0.26,+11.1,+0.30,229,597,38.4,356,36,10.1,12,0.32
51,Antonio Adán,es ESP,PO,31,2,1,90,1.0,2,2.00,7,5,71.4,0,0.0,0,,2018-2019,Atlético Madrid,0,0,0,2.1,0.30,+0.1,+0.12,4,16,25.0,9,0,0.0,0,0.00
52,Thibaut Courtois,be BEL,PO,26,27,27,"2,430",27.0,36,1.33,100,70,70.0,8,29.6,1,14.3,2018-2019,Real Madrid,0,3,0,32.5,0.29,-3.5,-0.13,110,289,38.1,188,19,10.1,11,0.41
53,Keylor Navas,cr CRC,PO,31,10,10,900,10.0,8,0.80,30,22,73.3,4,40.0,0,,2018-2019,Real Madrid,0,2,0,8.7,0.29,+0.7,+0.07,31,90,34.4,79,6,7.6,6,0.60
